tokenized_quote,tags
"['live', 'as', 'if', 'you', 'were', 'to', 'die', 'tomorrow', 'learn', 'as', 'if', 'you', 'were', 'to', 'live', 'forever']","['carpe-diem', 'education', 'inspirational', 'learning']"
"['darkness', 'can', 'not', 'drive', 'out', 'darkness', 'only', 'light', 'can', 'do', 'that', 'hate', 'can', 'not', 'drive', 'out', 'hate', 'only', 'love', 'can', 'do', 'that']","['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace']"
"['without', 'music', 'life', 'would', 'be', 'a', 'mistake']","['inspirational', 'music', 'philosophy']"
"['we', 'accept', 'the', 'love', 'we', 'think', 'we', 'deserve']","['inspirational', 'love']"
"['i', 'am', 'so', 'clever', 'that', 'sometimes', 'i', 'do', 'not', 'understand', 'a', 'single', 'word', 'of', 'what', 'i', 'am', 'saying']","['intelligence', 'self-deprecation']"
"['to', 'be', 'yourself', 'in', 'a', 'world', 'that', 'is', 'constantly', 'trying', 'to', 'make', 'you', 'something', 'else', 'is', 'the', 'greatest', 'accomplishment']","['accomplishment', 'be-yourself', 'conformity', 'individuality']"
"['here', 'is', 'to', 'the', 'crazy', 'ones', 'the', 'misfits', 'the', 'rebels', 'the', 'troublemakers', 'the', 'round', 'pegs', 'in', 'the', 'square', 'holes', 'the', 'ones', 'who', 'see', 'things', 'differently', 'they', 'are', 'not', 'fond', 'of', 'rules', 'and', 'they', 'have', 'no', 'respect', 'for', 'the', 'status', 'quo', 'you', 'can', 'quote', 'them', 'disagree', 'with', 'them', 'glorify', 'or', 'vilify', 'them', 'about', 'the', 'only', 'thing', 'you', 'can', 'not', 'do', 'is', 'ignore', 'them', 'because', 'they', 'change', 'things', 'they', 'push', 'the', 'human', 'race', 'forward', 'and', 'while', 'some', 'may', 'see', 'them', 'as', 'the', 'crazy', 'ones', 'we', 'see', 'genius', 'because', 'the', 'people', 'who', 'are', 'crazy', 'enough', 'to', 'think', 'they', 'can', 'change', 'the', 'world', 'are', 'the', 'ones', 'who', 'do']","['advertising', 'apple', 'change', 'commercial', 'computers', 'different', 'madness', 'misattributed-apple', 'misattributed-steve-jobs', 'misfits', 'nonconformity', 'progressive', 'rebels', 'status-quo', 'think-different', 'troublemakers']"
"['insanity', 'is', 'doing', 'the', 'same', 'thing', 'over', 'and', 'over', 'again', 'but', 'expecting', 'different', 'results']","['humor', 'insanity', 'life', 'misattributed-ben-franklin', 'misattributed-mark-twain', 'misattributed-to-einstein']"
"['i', 'believe', 'that', 'everything', 'happens', 'for', 'a', 'reason', 'people', 'change', 'so', 'that', 'you', 'can', 'learn', 'to', 'let', 'go', 'things', 'go', 'wrong', 'so', 'that', 'you', 'appreciate', 'them', 'when', 'they', 'are', 'right', 'you', 'believe', 'lies', 'so', 'you', 'eventually', 'learn', 'to', 'trust', 'no', 'one', 'but', 'yourself', 'and', 'sometimes', 'good', 'things', 'fall', 'apart', 'so', 'better', 'things', 'can', 'fall', 'together']",['misattributed-marilyn-monroe']
"['twenty', 'years', 'from', 'now', 'you', 'will', 'be', 'more', 'disappointed', 'by', 'the', 'things', 'that', 'you', 'did', 'not', 'do', 'than', 'by', 'the', 'ones', 'you', 'did', 'do', 'so', 'throw', 'off', 'the', 'bowlines', 'sail', 'away', 'from', 'the', 'safe', 'harbor', 'catch', 'the', 'trade', 'winds', 'in', 'your', 'sails', 'explore', 'dream', 'discover']","['actions', 'disappointed', 'disappointment', 'dream', 'dreams', 'explore', 'misattributed-mark-twain', 'sail']"
"['it', 'is', 'better', 'to', 'be', 'hated', 'for', 'what', 'you', 'are', 'than', 'to', 'be', 'loved', 'for', 'what', 'you', 'are', 'not']","['life', 'love']"
"['only', 'once', 'in', 'your', 'life', 'i', 'truly', 'believe', 'you', 'find', 'someone', 'who', 'can', 'completely', 'turn', 'your', 'world', 'around', 'you', 'tell', 'them', 'things', 'that', 'youâve', 'never', 'shared', 'with', 'another', 'soul', 'and', 'they', 'absorb', 'everything', 'you', 'say', 'and', 'actually', 'want', 'to', 'hear', 'more', 'you', 'share', 'hopes', 'for', 'the', 'future', 'dreams', 'that', 'will', 'never', 'come', 'true', 'goals', 'that', 'were', 'never', 'achieved', 'and', 'the', 'many', 'disappointments', 'life', 'has', 'thrown', 'at', 'you', 'when', 'something', 'wonderful', 'happens', 'you', 'canât', 'wait', 'to', 'tell', 'them', 'about', 'it', 'knowing', 'they', 'will', 'share', 'in', 'your', 'excitement', 'they', 'are', 'not', 'embarrassed', 'to', 'cry', 'with', 'you', 'when', 'you', 'are', 'hurting', 'or', 'laugh', 'with', 'you', 'when', 'you', 'make', 'a', 'fool', 'of', 'yourself', 'never', 'do', 'they', 'hurt', 'your', 'feelings', 'or', 'make', 'you', 'feel', 'like', 'you', 'are', 'not', 'good', 'enough', 'but', 'rather', 'they', 'build', 'you', 'up', 'and', 'show', 'you', 'the', 'things', 'about', 'yourself', 'that', 'make', 'you', 'special', 'and', 'even', 'beautiful', 'there', 'is', 'never', 'any', 'pressure', 'jealousy', 'or', 'competition', 'but', 'only', 'a', 'quiet', 'calmness', 'when', 'they', 'are', 'around', 'you', 'can', 'be', 'yourself', 'and', 'not', 'worry', 'about', 'what', 'they', 'will', 'think', 'of', 'you', 'because', 'they', 'love', 'you', 'for', 'who', 'you', 'are', 'the', 'things', 'that', 'seem', 'insignificant', 'to', 'most', 'people', 'such', 'as', 'a', 'note', 'song', 'or', 'walk', 'become', 'invaluable', 'treasures', 'kept', 'safe', 'in', 'your', 'heart', 'to', 'cherish', 'forever', 'memories', 'of', 'your', 'childhood', 'come', 'back', 'and', 'are', 'so', 'clear', 'and', 'vivid', 'itâs', 'like', 'being', 'young', 'again', 'colours', 'seem', 'brighter', 'and', 'more', 'brilliant', 'laughter', 'seems', 'part', 'of', 'daily', 'life', 'where', 'before', 'it', 'was', 'infrequent', 'or', 'didnât', 'exist', 'at', 'all', 'a', 'phone', 'call', 'or', 'two', 'during', 'the', 'day', 'helps', 'to', 'get', 'you', 'through', 'a', 'long', 'dayâs', 'work', 'and', 'always', 'brings', 'a', 'smile', 'to', 'your', 'face', 'in', 'their', 'presence', 'thereâs', 'no', 'need', 'for', 'continuous', 'conversation', 'but', 'you', 'find', 'youâre', 'quite', 'content', 'in', 'just', 'having', 'them', 'nearby', 'things', 'that', 'never', 'interested', 'you', 'before', 'become', 'fascinating', 'because', 'you', 'know', 'they', 'are', 'important', 'to', 'this', 'person', 'who', 'is', 'so', 'special', 'to', 'you', 'you', 'think', 'of', 'this', 'person', 'on', 'every', 'occasion', 'and', 'in', 'everything', 'you', 'do', 'simple', 'things', 'bring', 'them', 'to', 'mind', 'like', 'a', 'pale', 'blue', 'sky', 'gentle', 'wind', 'or', 'even', 'a', 'storm', 'cloud', 'on', 'the', 'horizon', 'you', 'open', 'your', 'heart', 'knowing', 'that', 'thereâs', 'a', 'chance', 'it', 'may', 'be', 'broken', 'one', 'day', 'and', 'in', 'opening', 'your', 'heart', 'you', 'experience', 'a', 'love', 'and', 'joy', 'that', 'you', 'never', 'dreamed', 'possible', 'you', 'find', 'that', 'being', 'vulnerable', 'is', 'the', 'only', 'way', 'to', 'allow', 'your', 'heart', 'to', 'feel', 'true', 'pleasure', 'thatâs', 'so', 'real', 'it', 'scares', 'you', 'you', 'find', 'strength', 'in', 'knowing', 'you', 'have', 'a', 'true', 'friend', 'and', 'possibly', 'a', 'soul', 'mate', 'who', 'will', 'remain', 'loyal', 'to', 'the', 'end', 'life', 'seems', 'completely', 'different', 'exciting', 'and', 'worthwhile', 'your', 'only', 'hope', 'and', 'security', 'is', 'in', 'knowing', 'that', 'they', 'are', 'a', 'part', 'of', 'your', 'life']",['love']
"['all', 'that', 'is', 'gold', 'does', 'not', 'glitternot', 'all', 'those', 'who', 'wander', 'are', 'lostthe', 'old', 'that', 'is', 'strong', 'does', 'not', 'witherdeep', 'roots', 'are', 'not', 'reached', 'by', 'the', 'frostfrom', 'the', 'ashes', 'a', 'fire', 'shall', 'be', 'wokena', 'light', 'from', 'the', 'shadows', 'shall', 'springrenewed', 'shall', 'be', 'blade', 'that', 'was', 'brokenthe', 'crownless', 'again', 'shall', 'be', 'king']","['frost', 'glitter', 'gold', 'lost', 'poetry', 'roots', 'strength', 'strong', 'wander', 'wither']"
"['it', 'is', 'our', 'choices', 'harry', 'that', 'show', 'what', 'we', 'truly', 'are', 'far', 'more', 'than', 'our', 'abilities']","['abilities', 'choices']"
"['the', 'person', 'be', 'it', 'gentleman', 'or', 'lady', 'who', 'has', 'not', 'pleasure', 'in', 'a', 'good', 'novel', 'must', 'be', 'intolerably', 'stupid']","['aliteracy', 'books', 'classic', 'humor']"
"['imperfection', 'is', 'beauty', 'madness', 'is', 'genius', 'and', 'its', 'better', 'to', 'be', 'absolutely', 'ridiculous', 'than', 'absolutely', 'boring']","['be-yourself', 'inspirational']"
"['there', 'are', 'only', 'two', 'ways', 'to', 'live', 'your', 'life', 'one', 'is', 'as', 'though', 'nothing', 'is', 'a', 'miracle', 'the', 'other', 'is', 'as', 'though', 'everything', 'is', 'a', 'miracle']","['inspirational', 'life', 'live', 'miracle', 'miracles']"
"['it', 'does', 'not', 'do', 'to', 'dwell', 'on', 'dreams', 'and', 'forget', 'to', 'live']","['dreams', 'life']"
"['good', 'friends', 'good', 'books', 'and', 'a', 'sleepy', 'conscience', 'this', 'is', 'the', 'ideal', 'life']","['books', 'contentment', 'friends', 'friendship', 'life']"
"['as', 'he', 'read', 'i', 'fell', 'in', 'love', 'the', 'way', 'you', 'fall', 'asleep', 'slowly', 'and', 'then', 'all', 'at', 'once']",['love']
"['we', 'are', 'all', 'in', 'the', 'gutter', 'but', 'some', 'of', 'us', 'are', 'looking', 'at', 'the', 'stars']","['inspirational', 'optimism', 'perception', 'pessimism']"
"['fairy', 'tales', 'are', 'more', 'than', 'true', 'not', 'because', 'they', 'tell', 'us', 'that', 'dragons', 'exist', 'but', 'because', 'they', 'tell', 'us', 'that', 'dragons', 'can', 'be', 'beaten']","['books', 'dragons', 'fairy-tales', 'inspirational', 'paraphrasing-g-k-chesterton']"
"['it', 'is', 'better', 'to', 'remain', 'silent', 'at', 'the', 'risk', 'of', 'being', 'thought', 'a', 'fool', 'than', 'to', 'talk', 'and', 'remove', 'all', 'doubt', 'of', 'it']","['misattributed-to-abraham-lincoln', 'misattributed-to-mark-twain', 'remaining-silent', 'wisdom']"
"['the', 'fool', 'doth', 'think', 'he', 'is', 'wise', 'but', 'the', 'wise', 'man', 'knows', 'himself', 'to', 'be', 'a', 'fool']",['wisdom']
"['whenever', 'you', 'find', 'yourself', 'on', 'the', 'side', 'of', 'the', 'majority', 'it', 'is', 'time', 'to', 'reform', 'or', 'pause', 'and', 'reflect']","['individuality', 'majority', 'minority', 'pause', 'reflect', 'wisdom']"
"['life', 'is', 'what', 'happens', 'to', 'us', 'while', 'we', 'are', 'making', 'other', 'plans']","['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']"
"['yesterday', 'is', 'history', 'tomorrow', 'is', 'a', 'mystery', 'today', 'is', 'a', 'gift', 'of', 'god', 'which', 'is', 'why', 'we', 'call', 'it', 'the', 'present']","['hope', 'inspirational', 'misattributed-eleanor-roosevelt', 'past', 'present', 'widely-misattributed']"
"['i', 'have', 'not', 'failed', 'i', 'have', 'just', 'found', '10000', 'ways', 'that', 'will', 'not', 'work']","['edison', 'failure', 'inspirational', 'paraphrased']"
"['it', 'is', 'not', 'a', 'lack', 'of', 'love', 'but', 'a', 'lack', 'of', 'friendship', 'that', 'makes', 'unhappy', 'marriages']","['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']"
"['the', 'opposite', 'of', 'love', 'is', 'not', 'hate', 'its', 'indifference', 'the', 'opposite', 'of', 'art', 'is', 'not', 'ugliness', 'its', 'indifference', 'the', 'opposite', 'of', 'faith', 'is', 'not', 'heresy', 'its', 'indifference', 'and', 'the', 'opposite', 'of', 'life', 'is', 'not', 'death', 'its', 'indifference']","['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']"
"['a', 'woman', 'is', 'like', 'a', 'tea', 'bag', 'you', 'never', 'know', 'how', 'strong', 'it', 'is', 'until', 'its', 'in', 'hot', 'water']",['misattributed-eleanor-roosevelt']
"['the', 'man', 'who', 'does', 'not', 'read', 'has', 'no', 'advantage', 'over', 'the', 'man', 'who', 'can', 'not', 'read']","['aliteracy', 'literacy']"
"['if', 'you', 'do', 'not', 'stand', 'for', 'something', 'you', 'will', 'fall', 'for', 'anything']","['belief', 'integrity', 'misattributed-to-malcolm-x', 'misattributed-to-rosa-parks']"
"['i', 'may', 'not', 'have', 'gone', 'where', 'i', 'intended', 'to', 'go', 'but', 'i', 'think', 'i', 'have', 'ended', 'up', 'where', 'i', 'needed', 'to', 'be']","['life', 'navigation']"
"['i', 'love', 'you', 'without', 'knowing', 'how', 'or', 'when', 'or', 'from', 'where', 'i', 'love', 'you', 'simply', 'without', 'problems', 'or', 'pride', 'i', 'love', 'you', 'in', 'this', 'way', 'because', 'i', 'do', 'not', 'know', 'any', 'other', 'way', 'of', 'loving', 'but', 'this', 'in', 'which', 'there', 'is', 'no', 'i', 'or', 'you', 'so', 'intimate', 'that', 'your', 'hand', 'upon', 'my', 'chest', 'is', 'my', 'hand', 'so', 'intimate', 'that', 'when', 'i', 'fall', 'asleep', 'your', 'eyes', 'close']","['love', 'poetry']"
"['i', 'solemnly', 'swear', 'that', 'i', 'am', 'up', 'to', 'no', 'good']",['mischief']
"['outside', 'of', 'a', 'dog', 'a', 'book', 'is', 'mans', 'best', 'friend', 'inside', 'of', 'a', 'dog', 'its', 'too', 'dark', 'to', 'read']","['animals', 'books', 'dogs', 'friends', 'humor']"
"['i', 'am', 'enough', 'of', 'an', 'artist', 'to', 'draw', 'freely', 'upon', 'my', 'imagination', 'imagination', 'is', 'more', 'important', 'than', 'knowledge', 'knowledge', 'is', 'limited', 'imagination', 'encircles', 'the', 'world']","['1929', 'imagination', 'inspirational', 'viereck-interview']"
"['love', 'all', 'trust', 'a', 'few', 'do', 'wrong', 'to', 'none']","['do-wrong', 'love', 'trust', 'wrong']"
"['i', 'like', 'nonsense', 'it', 'wakes', 'up', 'the', 'brain', 'cells', 'fantasy', 'is', 'a', 'necessary', 'ingredient', 'in', 'living']",['fantasy']
"['have', 'you', 'ever', 'been', 'in', 'love', 'horrible', 'is', 'not', 'it', 'it', 'makes', 'you', 'so', 'vulnerable', 'it', 'opens', 'your', 'chest', 'and', 'it', 'opens', 'up', 'your', 'heart', 'and', 'it', 'means', 'that', 'someone', 'can', 'get', 'inside', 'you', 'and', 'mess', 'you', 'up']",['love']
"['a', 'day', 'without', 'sunshine', 'is', 'like', 'you', 'know', 'night']","['humor', 'obvious', 'simile']"
"['a', 'reader', 'lives', 'a', 'thousand', 'lives', 'before', 'he', 'dies', 'said', 'jojen', 'the', 'man', 'who', 'never', 'reads', 'lives', 'only', 'one']","['read', 'readers', 'reading', 'reading-books']"
"['never', 'put', 'off', 'till', 'tomorrow', 'what', 'may', 'be', 'done', 'day', 'after', 'tomorrow', 'just', 'as', 'well']","['humor', 'procrastination']"
[],"['forgiveness', 'goodness', 'happiness', 'honesty', 'kindness', 'misattributed-to-mother-teresa', 'world']"
"['you', 'have', 'brains', 'in', 'your', 'head', 'you', 'have', 'feet', 'in', 'your', 'shoes', 'you', 'can', 'steer', 'yourself', 'any', 'direction', 'you', 'choose', 'you', 'are', 'on', 'your', 'own', 'and', 'you', 'know', 'what', 'you', 'know', 'and', 'you', 'are', 'the', 'one', 'who', 'will', 'decide', 'where', 'to', 'go']",['inspirational']
"['that', 'which', 'does', 'not', 'kill', 'us', 'makes', 'us', 'stronger']","['paraphrased', 'strength']"
"['being', 'deeply', 'loved', 'by', 'someone', 'gives', 'you', 'strength', 'while', 'loving', 'someone', 'deeply', 'gives', 'you', 'courage']","['courage', 'deeply-loved', 'love', 'strength', 'widely-misattributed']"
"['it', 'is', 'never', 'too', 'late', 'to', 'be', 'what', 'you', 'might', 'have', 'been']","['inspirational', 'source-unknown']"
"['for', 'every', 'minute', 'you', 'are', 'angry', 'you', 'lose', 'sixty', 'seconds', 'of', 'happiness']",['happiness']
"['it', 'takes', 'a', 'great', 'deal', 'of', 'bravery', 'to', 'stand', 'up', 'to', 'our', 'enemies', 'but', 'just', 'as', 'much', 'to', 'stand', 'up', 'to', 'our', 'friends']","['albus-dumbledore', 'courage', 'friends']"
"['this', 'life', 'is', 'what', 'you', 'make', 'it', 'no', 'matter', 'what', 'you', 'are', 'going', 'to', 'mess', 'up', 'sometimes', 'its', 'a', 'universal', 'truth', 'but', 'the', 'good', 'part', 'is', 'you', 'get', 'to', 'decide', 'how', 'you', 'are', 'going', 'to', 'mess', 'it', 'up', 'girls', 'will', 'be', 'your', 'friends', 'they', 'will', 'act', 'like', 'it', 'anyway', 'but', 'just', 'remember', 'some', 'come', 'some', 'go', 'the', 'ones', 'that', 'stay', 'with', 'you', 'through', 'everything', 'they', 'are', 'your', 'true', 'best', 'friends', 'do', 'not', 'let', 'go', 'of', 'them', 'also', 'remember', 'sisters', 'make', 'the', 'best', 'friends', 'in', 'the', 'world', 'as', 'for', 'lovers', 'well', 'they', 'will', 'come', 'and', 'go', 'too', 'and', 'baby', 'i', 'hate', 'to', 'say', 'it', 'most', 'of', 'them', 'actually', 'pretty', 'much', 'all', 'of', 'them', 'are', 'going', 'to', 'break', 'your', 'heart', 'but', 'you', 'can', 'not', 'give', 'up', 'because', 'if', 'you', 'give', 'up', 'you', 'will', 'never', 'find', 'your', 'soulmate', 'you', 'will', 'never', 'find', 'that', 'half', 'who', 'makes', 'you', 'whole', 'and', 'that', 'goes', 'for', 'everything', 'just', 'because', 'you', 'fail', 'once', 'does', 'not', 'mean', 'you', 'are', 'going', 'to', 'fail', 'at', 'everything', 'keep', 'trying', 'hold', 'on', 'and', 'always', 'always', 'always', 'believe', 'in', 'yourself', 'because', 'if', 'you', 'do', 'not', 'then', 'who', 'will', 'sweetie', 'so', 'keep', 'your', 'head', 'high', 'keep', 'your', 'chin', 'up', 'and', 'most', 'importantly', 'keep', 'smiling', 'because', 'lifes', 'a', 'beautiful', 'thing', 'and', 'there', 'is', 'so', 'much', 'to', 'smile', 'about']","['friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']"
"['i', 'love', 'deadlines', 'i', 'love', 'the', 'whooshing', 'noise', 'they', 'make', 'as', 'they', 'go', 'by']","['deadlines', 'humor', 'humour', 'work', 'writing']"
"['if', 'you', 'judge', 'people', 'you', 'have', 'no', 'time', 'to', 'love', 'them']",[]
"['there', 'is', 'never', 'a', 'time', 'or', 'place', 'for', 'true', 'love', 'it', 'happens', 'accidentally', 'in', 'a', 'heartbeat', 'in', 'a', 'single', 'flashing', 'throbbing', 'moment']",['love']
"['if', 'you', 'can', 'not', 'explain', 'it', 'to', 'a', 'six', 'year', 'old', 'you', 'do', 'not', 'understand', 'it', 'yourself']","['simplicity', 'understand']"
"['i', 'am', 'not', 'upset', 'that', 'you', 'lied', 'to', 'me', 'i', 'am', 'upset', 'that', 'from', 'now', 'on', 'i', 'can', 'not', 'believe', 'you']","['lies', 'lying', 'trust']"
"['there', 'is', 'no', 'greater', 'agony', 'than', 'bearing', 'an', 'untold', 'story', 'inside', 'you']","['1970', 'inspirational', 'stories', 'writing']"
"['love', 'is', 'that', 'condition', 'in', 'which', 'the', 'happiness', 'of', 'another', 'person', 'is', 'essential', 'to', 'your', 'own']","['essential', 'happiness', 'love']"
"['anyone', 'who', 'thinks', 'sitting', 'in', 'church', 'can', 'make', 'you', 'a', 'christian', 'must', 'also', 'think', 'that', 'sitting', 'in', 'a', 'garage', 'can', 'make', 'you', 'a', 'car']","['humor', 'religion']"
"['if', 'you', 'only', 'read', 'the', 'books', 'that', 'everyone', 'else', 'is', 'reading', 'you', 'can', 'only', 'think', 'what', 'everyone', 'else', 'is', 'thinking']","['books', 'thought']"
"['i', 'have', 'always', 'imagined', 'that', 'paradise', 'will', 'be', 'a', 'kind', 'of', 'library']","['books', 'library']"
"['everything', 'you', 'can', 'imagine', 'is', 'real']","['art', 'imagination', 'inspirational', 'life']"
"['women', 'and', 'cats', 'will', 'do', 'as', 'they', 'please', 'and', 'men', 'and', 'dogs', 'should', 'relax', 'and', 'get', 'used', 'to', 'the', 'idea']","['cats', 'humor', 'women']"
"['sometimes', 'the', 'questions', 'are', 'complicated', 'and', 'the', 'answers', 'are', 'simple']",['life']
"['you', 'may', 'not', 'be', 'her', 'first', 'her', 'last', 'or', 'her', 'only', 'she', 'loved', 'before', 'she', 'may', 'love', 'again', 'but', 'if', 'she', 'loves', 'you', 'now', 'what', 'else', 'matters', 'she', 'is', 'not', 'perfectâyou', 'are', 'not', 'either', 'and', 'the', 'two', 'of', 'you', 'may', 'never', 'be', 'perfect', 'together', 'but', 'if', 'she', 'can', 'make', 'you', 'laugh', 'because', 'you', 'to', 'think', 'twice', 'and', 'admit', 'to', 'being', 'human', 'and', 'making', 'mistakes', 'hold', 'onto', 'her', 'and', 'give', 'her', 'the', 'most', 'you', 'can', 'she', 'may', 'not', 'be', 'thinking', 'about', 'you', 'every', 'second', 'of', 'the', 'day', 'but', 'she', 'will', 'give', 'you', 'a', 'part', 'of', 'her', 'that', 'she', 'knows', 'you', 'can', 'breakâher', 'heart', 'so', 'do', 'not', 'hurt', 'her', 'do', 'not', 'change', 'her', 'do', 'not', 'analyze', 'and', 'do', 'not', 'expect', 'more', 'than', 'she', 'can', 'give', 'smile', 'when', 'she', 'makes', 'you', 'happy', 'let', 'her', 'know', 'when', 'she', 'makes', 'you', 'mad', 'and', 'miss', 'her', 'when', 'she', 'is', 'not', 'there']",['love']
"['never', 'trust', 'anyone', 'who', 'has', 'not', 'brought', 'a', 'book', 'with', 'them']","['books', 'reading']"
"['you', 'love', 'me', 'real', 'or', 'not', 'reali', 'tell', 'him', 'real']","['katniss', 'love', 'peeta', 'suzanne-collins', 'the-hunger-games']"
"['you', 'can', 'never', 'get', 'a', 'cup', 'of', 'tea', 'large', 'enough', 'or', 'a', 'book', 'long', 'enough', 'to', 'suit', 'me']","['books', 'inspirational', 'reading', 'tea']"
"['we', 'read', 'to', 'know', 'were', 'not', 'alone']","['misattributed-to-c-s-lewis', 'reading']"
"['sometimes', 'you', 'read', 'a', 'book', 'and', 'it', 'fills', 'you', 'with', 'this', 'weird', 'evangelical', 'zeal', 'and', 'you', 'become', 'convinced', 'that', 'the', 'shattered', 'world', 'will', 'never', 'be', 'put', 'back', 'together', 'unless', 'and', 'until', 'all', 'living', 'humans', 'read', 'the', 'book']","['books', 'power-of-words', 'reading']"
"['all', 'you', 'need', 'is', 'love', 'but', 'a', 'little', 'chocolate', 'now', 'and', 'then', 'does', 'not', 'hurt']","['chocolate', 'food', 'humor']"
"['of', 'course', 'it', 'is', 'happening', 'inside', 'your', 'head', 'harry', 'but', 'why', 'on', 'earth', 'should', 'that', 'mean', 'that', 'it', 'is', 'not', 'real']",['dumbledore']
"['beauty', 'is', 'in', 'the', 'eye', 'of', 'the', 'beholder', 'and', 'it', 'may', 'be', 'necessary', 'from', 'time', 'to', 'time', 'to', 'give', 'a', 'stupid', 'or', 'misinformed', 'beholder', 'a', 'black', 'eye']",['humor']
"['life', 'is', 'not', 'about', 'finding', 'yourself', 'life', 'is', 'about', 'creating', 'yourself']","['inspirational', 'life', 'yourself']"
"['today', 'you', 'are', 'you', 'that', 'is', 'truer', 'than', 'true', 'there', 'is', 'no', 'one', 'alive', 'who', 'is', 'youer', 'than', 'you']","['comedy', 'life', 'yourself']"
"['to', 'the', 'wellorganized', 'mind', 'death', 'is', 'but', 'the', 'next', 'great', 'adventure']","['death', 'dumbledore', 'harry', 'inspirational', 'philosophers-stone', 'ron', 'sorcerers-stone']"
"['i', 'am', 'not', 'afraid', 'of', 'death', 'i', 'just', 'do', 'not', 'want', 'to', 'be', 'there', 'when', 'it', 'happens']","['death', 'fear', 'humor', 'life']"
